#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,2219,4716.429935
135.0,2139,4727.222732
230.0,2421,4739.346319
100.0,1455,4746.641792
140.0,2349,4758.714673
135.0,2361,4770.784597
185.0,2401,4783.00144
55.0,1431,4790.250103
195.0,2361,4802.424979
285.0,2483,4819.370731
340.0,2821,4833.847001
735.0,3363,4851.105135
180.0,2111,4861.872762
525.0,3325,4878.794836
135.0,2305,4890.658567
280.0,2959,4906.001458
210.0,2505,4918.993961
80.0,1737,4927.840588
105.0,1539,4935.673896
145.0,2159,4946.795282
145.0,1675,4955.300426
505.0,2931,4970.60972
170.0,2425,4983.217909
215.0,2703,4997.241559
235.0,2541,5010.328963
90.0,1741,5019.360118
225.0,2689,5033.182914
260.0,2871,5048.156063
135.0,1477,5055.673963
90.0,1289,5062.167168
105.0,1533,5070.123149
155.0,2291,5081.908295
410.0,2527,5095.046621
180.0,2267,5106.803578
240.0,2891,5121.88923
395.0,4187,5143.870288
265.0,3077,5159.894315
440.0,2893,5174.988388
240.0,3633,5194.113722
215.0,2529,5207.334711
135.0,1939,5217.464095
265.0,2895,5232.680782
240.0,2877,5247.884392
240.0,2965,5263.494737
210.0,2851,5278.401594
120.0,2013,5288.922898
235.0,2319,5301.109424
260.0,2935,5316.545239
325.0,3225,5333.58949
210.0,2569,5353.031807
110.0,1797,5362.389949
260.0,2857,5377.364326
185.0,2897,5392.626435
385.0,3649,5411.809914
190.0,2623,5425.721007
440.0,2885,5440.853754
320.0,3397,5458.7628
135.0,2305,5470.869901
235.0,2579,5484.386726
440.0,2893,5499.664184
395.0,4073,5521.223798
380.0,2203,5532.94322
210.0,2487,5546.052642
530.0,3397,5564.003937
345.0,3363,5581.81088
210.0,2735,5596.260427
210.0,2687,5610.445675
240.0,2885,5625.713992
595.0,4181,5647.807514
485.0,3407,5665.848909
155.0,1915,5675.898818
210.0,2289,5687.910485
405.0,4315,5711.000755
350.0,4671,5735.867609
275.0,3307,5753.449472
755.0,3377,5771.560523
45.0,1393,5778.875239
1005.0,6893,5815.743387
180.0,2323,5828.035739
295.0,3195,5845.111637
315.0,3549,5864.095466
260.0,2791,5878.735312
300.0,2997,5901.472309
265.0,2959,5917.074347
425.0,2775,5931.768491
170.0,2327,5944.047225
240.0,2775,5958.898047
185.0,2823,5973.890465
605.0,4233,5996.410348
240.0,3628,6015.875953
315.0,4003,6037.280069
520.0,3621,6056.48832
335.0,4095,6078.3795
765.0,4237,6100.985874
485.0,3281,6118.417118
50.0,1397,6125.822022
120.0,2323,6138.191593
265.0,3485,6156.824025
510.0,3149,6173.682774
335.0,3621,6192.969591
460.0,3653,6212.452899
210.0,2317,6224.738545
260.0,2869,6239.916672
240.0,2775,6254.755898
460.0,4237,6277.467244
710.0,4973,6304.101267
350.0,4307,6327.141579
435.0,4207,6349.640164
385.0,2569,6363.359749
